headline,text,outlet,resp_direction,sci_direction,resp_net_score,sci_net_score,manual_resp_code,manual_sci_code
Coronavirus US live: Trump rails against media and gun control in combative briefing – as it happened,"Coronavirus US live: Trump rails against media and gun control in combative briefing – as it happened <ul><li><a href=""https://www.theguardian.com/world/live/2020/apr/18/coronavirus-us-live-growing-protests-stay-home-orders-trump-latest-news-updates?page=with:block-5e9b34068f080ee11044772f#block-5e9b34068f080ee11044772f"">‘Reopen Maryland’ protesters gather in Annapolis</a></li><li><a href=""https://www.theguardian.com/us-news/2020/apr/18/operation-reopen-america-are-we-about-to-witness-a-second-historic-failure-of-leadership-from-trump"">Operation reopen America: are we about to witness a second historic failure of leadership from Trump?</a></li><li><a href=""https://www.theguardian.com/world/2020/apr/18/one-world-together-at-home-watch-live-lizzo-billie-eilish"">Watch live! Lizzo, Billie Eilish, Rolling Stones to appear in One World event for frontline health workers</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a><br></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li><li>Support the Guardian’s independent journalism. Make a <a href=""https://support.theguardian.com/uk/contribute?acquisitionData=%7B%22source%22%3A%22GUARDIAN_WEB%22%2C%22componentType%22%3A%22ACQUISITIONS_OTHER%22%2C%22componentId%22%3A%22Live_Blog%22%2C%22campaignCode%22%3A%22Impeachment%22%2C%22referrerPageviewId%22%3A%22k95mu56ty17yev9rj51d%22%2C%22referrerUrl%22%3A%22https%3A%2F%2Fwww.theguardian.com%2Fus-news%2Flive%2F2020%2Fapr%2F17%2Fcoronavirus-us-live-trump-reopening-plan-states-governors-latest-updates%22%7D&amp;INTCMP=Impeachment"">contribution</a></li></ul>",Guardian,neutral,absent,0.0,0.0,,
Inside Trump’s Failure: The Rush to Abandon Leadership Role on the Virus,"Inside Trump’s Failure: The Rush to Abandon Leadership Role on the Virus The roots of the nation’s current inability to control the pandemic can be traced to mid-April, when the White House embraced overly rosy projections to proclaim victory and move on.",NYT,neutral,absent,0.0,0.0,,
Fauci confirms New York Times report Trump rebuffed social distancing advice,"Fauci confirms New York Times report Trump rebuffed social distancing advice <p>Health adviser says on CNN ‘you could logically say if you started mitigation earlier, you could have saved lives’</p><ul><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,neutral,absent,0.0,0.0,,
‘Dangerously incompetent’: medical journal condemns Trump’s handling of pandemic,‘Dangerously incompetent’: medical journal condemns Trump’s handling of pandemic <p>New England Journal of Medicine publishes editorial saying current US leadership ‘recklessly squandered lives’</p>,Guardian,neutral,absent,0.0,0.0,,
Covid-19 turns battleground states into hotspots as Trump trails Biden in polls,"Covid-19 turns battleground states into hotspots as Trump trails Biden in polls <p>President is accused of historic failure of leadership for downplaying the virus and ignoring its resurgence in several states</p><ul><li><a href=""https://www.theguardian.com/us-news/live/2020/jun/29/donald-trump-russian-bounties-taliban-coronavirus-protests-live-latest-news-updates"">US politics – live coverage</a></li></ul>",Guardian,neutral,absent,0.0,0.0,,
John Oliver: Trump's pandemic leadership has been 'borderline sociopathic',John Oliver: Trump's pandemic leadership has been 'borderline sociopathic' <p>The Last Week Tonight hosts rips Donald Trump’s leadership during the pandemic as eight months of ‘damaging lies’ and ‘staggering incompetence’</p>,Guardian,neutral,absent,0.0,0.0,,
Seth Meyers on Trump's 'recount fund': 'Everything he does is a scam',Seth Meyers on Trump's 'recount fund': 'Everything he does is a scam' <p>Late-night hosts blast Trump’s ‘election defense fund’ to pay his campaign’s debt and the leadership vacuum exacerbating the surging pandemic</p>,Guardian,neutral,absent,0.0,0.0,,
Covid-19 is exposing the frailty in autocrats and democrats alike,"Covid-19 is exposing the frailty in autocrats and democrats alike The weakness of Trump and Xi has been revealed. But the EU and the UN are not yet filling the leadership vacuum<br />• <a href=""https://www.theguardian.com/world/live/2020/mar/14/coronavirus-live-updates-uk-us-australia-italy-europe-school-shutdown-sport-events-cancelled-latest-update-news"" title="""">Coronavirus – latest updates</a><br />• <a href=""https://www.theguardian.com/world/coronavirus-outbreak"" title="""">See all our coronavirus coverage</a>",Guardian,neutral,absent,0.0,0.0,,
'They refused to act': inside a chilling documentary on Trump's bungled Covid-19 response,"'They refused to act': inside a chilling documentary on Trump's bungled Covid-19 response <p>Totally Under Control recounts the early days of the pandemic in the US, revealing in clinical detail a disastrous federal response to a preventable crisis</p>",Guardian,neutral,negative,0.0,-0.0263157894736842,,
Chaos follows Trump's return to the White House,"Chaos follows Trump's return to the White House <p>President orders a sudden halt to economic relief talks as White House Covid cluster continues to grow</p><ul><li><a href=""https://www.theguardian.com/australia-news/2020/oct/02/us-election-briefing-for-australia-sign-up-for-our-daily-email-newsletter?CMP=cvau_sfl"">Sign up to get the US election briefing for Australia delivered to your email inbox every weekday at 5pm</a></li></ul>",Guardian,neutral,absent,0.0,0.0,,
Trump claims China will 'do anything' to stop his re-election as coronavirus row escalates,"Trump claims China will 'do anything' to stop his re-election as coronavirus row escalates <p>President again raises possible retaliation against Beijing over coronavirus as Chinese media criticises lack of leadership in the US</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,neutral,absent,0.0,0.0,,
Out of control Covid casts pall over Trump campaign,"Out of control Covid casts pall over Trump campaign <p>America passes new daily cases milestone as Trump aide says ‘we’re not going to control the pandemic’</p><ul><li><a href=""https://www.theguardian.com/australia-news/2020/oct/02/us-election-briefing-for-australia-sign-up-for-our-daily-email-newsletter?CMP=cvau_sfl"">Sign up to get this US election briefing for Australia delivered to your email inbox every weekday at 5pm</a></li></ul>",Guardian,neutral,absent,0.0,0.0,,
Totally Under Control review – shocking film on Trump's failure to handle Covid-19,"Totally Under Control review – shocking film on Trump's failure to handle Covid-19 <p>Alex Gibney’s eye-opening documentary, made in secret, assembles a damning, if frustratingly incomplete, timeline of a government ill-equipped to deal with a deadly pandemic</p>",Guardian,neutral,negative,0.0,-0.027027027027027,,
"Kimberly Guilfoyle, Donald Trump Jr's girlfriend, tests positive for Covid-19","Kimberly Guilfoyle, Donald Trump Jr's girlfriend, tests positive for Covid-19 <p>Ex-Fox News presenter is key fundraiser for Trump re-election campaign and latest of president’s circle to contract the disease</p><p><a href=""https://www.theguardian.com/world/2020/jul/03/coronavirus-us-daily-case-increase-fauci-trump"">US records highest daily increase in coronavirus cases</a></p>",Guardian,absent,absent,0.0,0.0,,
Biden presents new defense chief as son Hunter reveals his taxes are being investigated – as it happened,"Biden presents new defense chief as son Hunter reveals his taxes are being investigated – as it happened <ul><li><a href=""https://www.theguardian.com/us-news/live/2020/dec/09/joe-biden-doanld-trump-coronavirus-covid-19-vaccine-us-election-live-updates?page=with:block-5fd11b318f08e8a610dd8937#block-5fd11b318f08e8a610dd8937"">Biden introduces Lloyd Austin as his nominee to lead US defense</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/dec/09/joe-biden-doanld-trump-coronavirus-covid-19-vaccine-us-election-live-updates?page=with:block-5fd139728f0892e7c1ad2b02#block-5fd139728f0892e7c1ad2b02"">Hunter: ‘I handled my affairs legally and appropriately’</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/dec/09/joe-biden-doanld-trump-coronavirus-covid-19-vaccine-us-election-live-updates?page=with:block-5fd125988f08afb1724b72c3#block-5fd125988f08afb1724b72c3"">Pennsylvania governor tests positive for coronavirus</a></li><li><a href=""https://www.theguardian.com/world/2020/dec/09/canada-approves-pfizer-vaccine-and-plans-to-begin-rollout-next-week-as-us-awaits-decision"">Canada approves Pfizer vaccine and plans to begin rollout next week</a></li><li><a href=""https://www.theguardian.com/world/2020/dec/09/health-secretary-alex-azar-vaccine-biden"">Trump’s health secretary meets Biden team to talk vaccine rollout</a></li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a><br></li></ul>",Guardian,absent,absent,0.0,0.0,,
Trump and Biden to hold dueling town halls after canceled debate,"Trump and Biden to hold dueling town halls after canceled debate <p>Two events came about after Trump backed out of virtual debate with Biden, following president’s testing positive for coronavirus</p>",Guardian,absent,absent,0.0,0.0,,
'It was fueled by hate and bigotry': one year on from the El Paso shooting,"'It was fueled by hate and bigotry': one year on from the El Paso shooting <p>Since a gunman killed 23 in the Texas border town, it’s faced anti-immigrant rhetoric from Donald Trump – and now Covid-19</p>",Guardian,absent,absent,0.0,0.0,,
"Coronavirus US live: Donald Trump predicts 'a very, very painful two weeks' – as it happened","Coronavirus US live: Donald Trump predicts 'a very, very painful two weeks' – as it happened <ul><li><a href=""https://www.theguardian.com/us-news/2020/mar/31/amazon-strike-worker-fired-organizing-walkout-chris-smallls"">Amazon fires worker who led New York warehouse strike</a></li><li><a href=""https://www.theguardian.com/us-news/2020/mar/31/detroit-coronavirus-america-michigan-poverty"">Detroit: America’s next Covid-19 hotspot prepares for surge</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/mar/31/coronavirus-us-live-new-york-governor-peak-cases-trump-america-outbreak-pandemic?page=with:block-5e8363228f087564da1e3253#block-5e8363228f087564da1e3253"">CNN’s Chris Cuomo diagnosed with coronavirus</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a><br></li><li>Support the Guardian’s independent journalism. Make a <a href=""https://support.theguardian.com/uk/contribute?acquisitionData=%7B%22source%22%3A%22GUARDIAN_WEB%22%2C%22componentType%22%3A%22ACQUISITIONS_OTHER%22%2C%22componentId%22%3A%22Live_Blog%22%2C%22campaignCode%22%3A%22Impeachment%22%2C%22referrerPageviewId%22%3A%22k8fw1sj3v7lrpw6c5oj1%22%2C%22referrerUrl%22%3A%22https%3A%2F%2Fwww.theguardian.com%2Fus-news%2Flive%2F2020%2Fmar%2F30%2Fcoronavirus-us-live-updates-donald-trump-deaths-america-new-york-fauci%22%7D&amp;INTCMP=Impeachment"">contribution</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
UK spent £20m buying up stocks of HIV and malaria drugs,"UK spent £20m buying up stocks of HIV and malaria drugs <p>Government spent £2m on hydroxychloroquine, touted by Trump as a Covid-19 cure</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,absent,negative,0.0,-0.032258064516129,,
Australian government says a coronavirus general lockdown remains an option,"Australian government says a coronavirus general lockdown remains an option <p>Chief medical officer Brendan Murphy says school closures and stockpiling a fortnight’s food are ‘premature’ at the moment<br></p><ul><li><a href=""https://www.theguardian.com/world/live/2020/mar/15/coronavirus-latest-updates-trump-tests-negative-as-spain-orders-nationwide-lockdown-uk-us-australia-italy-europe-global-economy"">Coronavirus latest updates: all arrivals in Australia must self-isolate, says PM</a></li><li><a href=""https://www.theguardian.com/world/2020/mar/15/all-overseas-arrivals-in-australia-must-self-isolate-for-14-days-amid-new-coronavirus-rules"">All overseas arrivals in Australia must self-isolate for 14 days under new rules</a></li><li><a href=""https://www.theguardian.com/world/2020/mar/15/coronavirus-australian-infections-rise-as-vivid-cancelled-but-nrl-matches-to-continue"">Australian infections rise to over 250 as Vivid cancels but NRL matches continue</a></li><li><a href=""https://www.theguardian.com/world/2020/mar/14/australian-government-launches-coronavirus-publicity-blitz-as-country-runs-low-on-testing-kits"">Australian government launches publicity blitz as country runs low on testing kits</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
Trump's national security adviser tests positive for coronavirus,"Trump's national security adviser tests positive for coronavirus <ul><li>White House insists ‘no risk’ of Trump being exposed </li><li>Photos of Robert O’Brien’s Europe trip show lack of mask usage</li><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/27/covid-19-coronanvirus-deaths-republicans-democrats-trump-latest-news-updates"">US politics – live updates</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
"White House says Trump doesn’t know of QAnon, despite his tacit endorsement","White House says Trump doesn’t know of QAnon, despite his tacit endorsement <ul><li>Conspiracy theory holds that Trump is fighting a group of ‘global elites’ engaged in ‘satanic cult of pedophiles and cannibals’ <br></li><li><a href=""https://www.theguardian.com/us-news/2020/aug/02/qanon-conspiracy-theory-republican-party-candidates"">How QAnon is finding a home in the Republican party</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/aug/23/donald-trump-sister-niece-tapes-biden-harris-coronavirus-us-politics-latest-news-updates-live"">US politics – live coverage</a></li></ul>",Guardian,absent,negative,0.0,-0.0212765957446808,,
China to cut US tariffs as coronavirus risks deepen,"China to cut US tariffs as coronavirus risks deepen <p>Markets rally after Beijing unveils plan to halve extra levies on 1,717 US products</p><ul><li><a href=""https://www.theguardian.com/business/live/2020/feb/06/china-slashes-us-tariffs-coronavirus-virus-trump-trade-sterling-brexit-business-live"">European stocks hit record high – business live</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
Breonna Taylor protests: what we know so far,"Breonna Taylor protests: what we know so far <p>The decision not to lay any direct charges over the killing of Breonna Taylor in Louisville have sparked protests across the nation</p><ul><li><a href=""https://www.theguardian.com/us-news/live/2020/sep/23/joe-biden-campaign-north-carolina-donald-trump-covid-coronavirus-supreme-court-us-politics-live"">Breonna Taylor decision: two officers shot in Louisville as protests erupt across US – live</a> </li></ul>",Guardian,absent,absent,0.0,0.0,,
Coronavirus contact: Ivanka Trump works from home after meeting Peter Dutton,Coronavirus contact: Ivanka Trump works from home after meeting Peter Dutton <p>Trump says she was at home ‘out of an abundance of caution’ while White House says Dutton was asymptomatic during meeting </p>,Guardian,absent,absent,0.0,0.0,,
Trump says US to suspend travel from Europe in coronavirus speech – as it happened,"Trump says US to suspend travel from Europe in coronavirus speech – as it happened <ul><li>Restrictions will not apply to UK, president says</li><li><a href=""https://www.theguardian.com/us-news/2020/mar/11/five-takeaways-primaries-democrats-joe-biden-bernie-sanders"">Five key takeaways from primaries</a><br></li><li>In this defining moment for America, support The Guardian’s independent journalism. Make a <a href=""https://support.theguardian.com/contribute?acquisitionData=%7B%22source%22%3A%22GUARDIAN_WEB%22%2C%22componentType%22%3A%22ACQUISITIONS_OTHER%22%2C%22componentId%22%3A%22Live_Blog%22%2C%22campaignCode%22%3A%22Impeachment%22%7D&amp;INTCMP=Impeachment"">contribution</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
Trump calls coronavirus criticism Democrats' 'new hoax' and links it to immigration,Trump calls coronavirus criticism Democrats' 'new hoax' and links it to immigration <p>The president was in South Carolina where he falsely called ‘the Democrat policy of open borders’ a threat to Americans’ health</p>,Guardian,absent,negative,0.0,-0.0303030303030303,,
DoJ officials condemn Barr's approval of voter fraud inquiries without evidence,"DoJ officials condemn Barr's approval of voter fraud inquiries without evidence <p>Richard Pilger, justice department official in charge of voter fraud investigations, resigned due to ‘ramifications’ of Barr’s move</p><ul><li><a href=""https://www.theguardian.com/us-news/2020/nov/10/donald-trump-longshot-election-lawsuits"">Trump’s longshot election lawsuits: where do things stand?</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/10/us-election-2020-joe-biden-donald-trump-supreme-court-obamacare-affordable-care-act-coronavirus-covid-live-updates"">US politics – live updates</a></li></ul>",Guardian,absent,negative,0.0,-0.0232558139534883,,
'Don't ask me. Ask China': Trump clashes with reporters then abruptly leaves press briefing,"'Don't ask me. Ask China': Trump clashes with reporters then abruptly leaves press briefing <p>President lashes out at Asian American journalist who queried his constant emphasis on being first in testing</p><ul><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – latest US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">C</a><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">oronavirus – latest global updates</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
White House Adviser Warned of Risks of Pandemic; Trump Misleads on Testing,"White House Adviser Warned of Risks of Pandemic; Trump Misleads on Testing Britain’s prime minister, Boris Johnson, has been moved to intensive care, and the Supreme Court rejected an extension of Wisconsin’s voting deadline.",NYT,absent,absent,0.0,0.0,,
Nancy Pelosi fears for 'morbidly obese' Trump after hydroxychloroquine admission,"Nancy Pelosi fears for 'morbidly obese' Trump after hydroxychloroquine admission <p>The US House Speaker says president should not be taking a drug that has not been approved to ward off coronavirus</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li><li><a href=""https://www.theguardian.com/world/2020/apr/22/hydroxychloroquine-coronavirus-scientific-studies-research"">Hydroxychloroquine and coronavirus: a guide to the scientific studies so far</a></li><li><a href=""https://www.theguardian.com/news/audio/2020/apr/16/hydroxychloroquine-how-did-an-unproven-drug-become-trumps-miracle-cure"">Podcast: the story behind Trump’s ‘miracle’ drug hydroxychloroquine</a></li></ul>",Guardian,absent,negative,0.0,-0.0169491525423728,,
Testing times ahead for Donald Trump,Testing times ahead for Donald Trump <p>Trump’s Covid diagnosis | BBC | Modern terminology | Boris Johnson</p>,Guardian,absent,absent,0.0,0.0,,
"Rudy Giuliani has coronavirus, Donald Trump says","Rudy Giuliani has coronavirus, Donald Trump says <p>Multiple US media reports say the lawyer is in hospital, as Arizona closes state legislature for a week in wake of his recent visit</p><ul><li><a href=""https://www.theguardian.com/world/2020/dec/06/california-covid-lockdown-us-new-cases-hospitalisations-deaths-stay-at-home-order"">California set for Covid lockdown as US cases surge</a><br></li></ul>",Guardian,absent,absent,0.0,0.0,,
"Donald Trump suspended from Facebook indefinitely, says Mark Zuckerberg","Donald Trump suspended from Facebook indefinitely, says Mark Zuckerberg <p>Facebook CEO accuses president of intending to undermine peaceful transition of power</p><ul><li><a href=""https://www.theguardian.com/us-news/live/2021/jan/07/joe-biden-donald-trump-mike-pence-capitol-congress-us-election-coronavirus-live-updates"">Latest development in US politics – live</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
Dr Jill Biden says op-ed attack a surprise – but won't let president-elect fight back,"Dr Jill Biden says op-ed attack a surprise – but won't let president-elect fight back <p>Wall Street Journal column mocked doctorate in education but incoming first lady tells husband to ‘take high road’</p><ul><li><a href=""https://www.theguardian.com/us-news/live/2020/dec/18/us-coronavirus-cases-deaths-covid-vaccine-moderna-fda-congress-stimulus-trump-biden-latest-updates"">US politics – live coverage</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
"Coronavirus cases pass 100,000 globally as Iran threatens force to restrict travel","Coronavirus cases pass 100,000 globally as Iran threatens force to restrict travel <p>WHO calls on countries to make containing spread their highest priority, as Trump signs emergency spending bill</p><ul><li><a href=""https://www.theguardian.com/world/live/2020/mar/06/coronavirus-update-latest-live-news-symptoms-cases-global-infection-rate-uk-usa-australia-italy-china-updates"">Follow the latest on Covid-19</a></li><li><a href=""https://www.theguardian.com/science/2020/jan/23/tell-us-have-you-been-affected-by-the-coronavirus"">Share your experiences</a></li></ul>",Guardian,absent,absent,0.0,0.0,,
Jared Kushner's coronavirus overreach puts more American lives on the line,Jared Kushner's coronavirus overreach puts more American lives on the line <p>Trump’s adviser bragged of his own wisdom and reportedly told the president that Cuomo was being ‘alarmist’ </p>,Guardian,absent,absent,0.0,0.0,,
California Announces Early Coronavirus Deaths; Trump Narrows Immigration Ban,California Announces Early Coronavirus Deaths; Trump Narrows Immigration Ban A 60-day pause in immigration will not apply to guest workers. The Senate passed a $484 billion aid package.,NYT,absent,absent,0.0,0.0,,
WHO warns of 'one big wave' of virus – as it happened,"WHO warns of 'one big wave' of virus – as it happened <p><a href=""https://www.theguardian.com/world/live/2020/jul/28/coronavirus-live-news-who-says-covid-19-is-easily-the-most-severe-crisis-it-has-faced?page=with:block-5f1fe41f8f08609a03a918d7#block-5f1fe41f8f08609a03a918d7"">Three regions in Spain</a> highlighted; global cases <a href=""https://www.theguardian.com/world/live/2020/jul/28/coronavirus-live-news-who-says-covid-19-is-easily-the-most-severe-crisis-it-has-faced?page=with:block-5f1f60ad8f08609a03a91539#block-5f1f60ad8f08609a03a91539"">doubled in last six weeks</a>; deaths worldwide <a href=""https://www.theguardian.com/world/live/2020/jul/28/coronavirus-live-news-who-says-covid-19-is-easily-the-most-severe-crisis-it-has-faced?page=with:block-5f1f53668f0823e23bc8c479#block-5f1f53668f0823e23bc8c479"">pass 650,000</a>. This blog is now closed</p><ul><li><a href=""https://www.theguardian.com/world/live/2020/jul/29/coronavirus-live-news-us-deaths-near-150000-as-italy-extends-state-of-emergency"">Follow the latest global coronavirus live blog here</a></li><li><a href=""https://www.theguardian.com/world/2020/jul/28/global-report-covid-19-still-accelerating-warns-who-as-restrictions-return-in-europe"">Covid-19 still accelerating, warns WHO, as restrictions return in Europe</a></li><li><a href=""https://www.theguardian.com/us-news/2020/jul/28/donald-trump-jr-twitter-restricted-hydroxychloroquine"">Twitter limits Donald Trump Jr’s account for posting misinformation</a></li><li><a href=""https://www.theguardian.com/uk-news/2020/jul/28/clapped-out-of-icu-dead-days-later-secondary-impact-of-covid-19-stroke-clots-coronavirus"">Clapped out of ICU, dead days later: the secondary impact of Covid-19</a></li><li><a href=""https://www.theguardian.com/world/2020/jul/28/covid-19-outbreak-in-xinjiang-prompts-fears-of-spread-inside-chinas-camps"">Outbreak in Xinjiang prompts fears of spread inside Uighur camps</a></li><li><a href=""https://www.theguardian.com/world/2020/jul/28/uk-holidaymakers-returning-from-spain-decry-unfair-coronavirus-quarantine"">UK holidaymakers returning from Spain decry ‘unfair’ quarantine</a></li></ul>",Guardian,absent,negative,0.0,-0.0109890109890109,,
White House claims US is 'a leader' in coronavirus fight despite rise in cases in many states – as it happened,"White House claims US is 'a leader' in coronavirus fight despite rise in cases in many states – as it happened <ul><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/06/coronavirus-frederick-douglass-statue-donald-trump-live-updates?page=with:block-5f03648e8f08470ce8322185#block-5f03648e8f08470ce8322185"">Kayleigh McEnany: ‘The world is looking at us as a leader’</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/06/coronavirus-frederick-douglass-statue-donald-trump-live-updates?page=with:block-5f036bb38f0881d4e4cc7133#block-5f036bb38f0881d4e4cc7133"">Trump criticizes sports teams for changing their names</a></li><li><a href=""https://www.theguardian.com/sport/2020/jul/06/donald-trump-bubba-wallace-noose-tweet-nascar"">Trump launches baseless attack on Bubba Wallace over noose ‘hoax’</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/06/coronavirus-frederick-douglass-statue-donald-trump-live-updates?page=with:block-5f03303a8f0832109a71a06b#block-5f03303a8f0832109a71a06b"">Supreme court rules states can punish ‘faithless electors’</a></li><li><a href=""https://www.theguardian.com/us-news/2020/jul/06/dakota-access-pipeline-environment-oil"">Judge suspends Dakota Access pipeline</a></li><li>Sign up to our <a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">First Thing newsletter</a><br></li></ul>",Guardian,absent,negative,0.0,-0.0289855072463768,,
Three-quarters of Australians say Scott Morrison should rebuke Craig Kelly for Covid misinformation,Three-quarters of Australians say Scott Morrison should rebuke Craig Kelly for Covid misinformation <p>Poll shows more than half of Australians also want the PM to condemn Donald Trump for his role in inciting the Capitol riots</p>,Guardian,absent,negative,0.0,-0.0277777777777777,,
Trump's hydroxychloroquine habit is the triumph of rightwing quackery,"Trump's hydroxychloroquine habit is the triumph of rightwing quackery <p>The president’s anti-science cult represents the nadir of a long tradition of conspiracy-loving wingnuts from the fringes of American conservatism</p><ul><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – latest US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">C</a><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">oronavirus – latest global updates</a></li></ul>",Guardian,absent,negative,0.0,-0.0512820512820512,,
'It’s a hoax. There's no pandemic': Trump's base stays loyal as president fights Covid,'It’s a hoax. There's no pandemic': Trump's base stays loyal as president fights Covid <p>News that the president has contracted coronavirus prompted alarm and confusion among Trump supporters in Missouri</p>,Guardian,absent,negative,0.0,-0.032258064516129,,
Has Trump been trying out his own dodgy medical advice? It would explain a few things,Has Trump been trying out his own dodgy medical advice? It would explain a few things <p>The president has announced he is taking hydroxychloroquine to fight coronavirus. Perhaps he has also been injecting bleach in front of Fox News</p>,Guardian,absent,negative,0.0,-0.0512820512820512,,
Trump fires Cisa boss - as it happened,"Trump fires Cisa boss - as it happened <ul><li>In a tweet firing Chris Krebs, Trump repeated baseless fraud claims</li><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/17/us-election-joe-biden-donald-trump-coronavirus-covid-19-live-updates?page=with:block-5fb43c108f08b4f3c5674a31#block-5fb43c108f08b4f3c5674a31"">Court rules officials did not improperly block Trump’s campaign from observing counting of mail-in ballots</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/17/us-election-joe-biden-donald-trump-coronavirus-covid-19-live-updates?page=with:block-5fb452a48f08161b0b9c6d32#block-5fb452a48f08161b0b9c6d32"">Senator Chuck Grassley tests positive for Covid-19</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/17/us-election-joe-biden-donald-trump-coronavirus-covid-19-live-updates?page=with:block-5fb435a88f081d2fbd0d83d8#block-5fb435a88f081d2fbd0d83d8"">Judy Shelton’s Fed nomination fails to advance</a></li><li><a href=""https://www.theguardian.com/us-news/2020/nov/17/joe-biden-appointments-jen-o-malley-dillon"">Biden’s names first White House appointments</a></li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a><br></li></ul>",Guardian,absent,negative,0.0,-0.0147058823529411,,
Six months of Trump's Covid denials: ‘It'll go away … It’s fading’,"Six months of Trump's Covid denials: ‘It'll go away … It’s fading’ <p>Trump repeats his promise that the virus will disappear as US passes another somber milestone of 150,000 confirmed deaths</p>",Guardian,absent,negative,0.0,-0.03125,,
Trump tells Americans to take unproven malaria drug to prevent Covid-19,"Trump tells Americans to take unproven malaria drug to prevent Covid-19 <p>President’s own public health advisers have warned against taking hydroxychloroquine </p><ul><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,absent,negative,0.0,-0.0588235294117647,,
"Goodbye Trump, hello Biden: how America is waving goodbye to a shocking, shameful era","Goodbye Trump, hello Biden: how America is waving goodbye to a shocking, shameful era <p>Trump’s brutal policies and spread of misinformation have divided the US. Uniting the country will be Biden’s biggest task<br></p><ul><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/08/us-election-2020-joe-biden-donald-trump-kamala-harris-coronavirus-covid-19-live-updates"">‘Let us be the nation we know we can be’: Biden speaks after defeating Trump - US election 2020 live updates</a></li></ul>",Guardian,absent,negative,0.0,-0.0178571428571428,,
